"","video_name","up_name","watch_ct","chat_ct","chat_per1kview"
"62","【花小烙】古代没有指纹识别技术，按了手印后耍赖怎么办？","
                画渣花小烙
              ",910000,2371,2.61
"63","取之有道","
                彬彬找乐子
              ",1287000,174,0.14
"64","又是带德国室友见世面的一天(第三集)","
                黄姐夫在德国
              ",961000,1833,1.91
"65","《艾尔登法环》大型Boss第一视角","
                TGBUS电玩巴士
              ",1714000,458,0.27
"66","【小林未郁】塔塔开！日语填词翻唱《孤勇者》？拔剑吧！","
                小林未郁miccabose
              ",594000,1395,2.35
"67","一句话让骗子急了","
                我是安揪
              ",1094000,2839,2.6
"68","整活！假装遛狗时突然跑进水里？女友在视频那头人傻了！","
                盖里老哥
              ",975000,2111,2.17
"69","烤驾照","
                杜海皇
              ",746000,6586,8.83
"70","探访福建东山岛的养殖基地，正赶上给鲍鱼放饭","
                无穷小亮的科普日常
              ",1041000,4597,4.42
"71","演技炸裂！20万人打出7.5分，警与匪的终极较量！解说《毒战》","
                刘老师说电影
              ",843000,4591,5.45
"72","我严重怀疑她是潜伏在娱乐圈的现役军人！","
                荒草音乐
              ",957000,981,1.03
"73","愿你们前程似锦，毕业快乐！","
                海南共青团
              ",960000,423,0.44
"74","退休不如跳舞！","
                某幻君
              ",558000,7486,13.42
"75","不出众改名有点三","
                本喵叫兔兔
              ",875000,1362,1.56
"76","《崩坏3》阿波尼亚心理咨询室","
                崩坏3第一偶像爱酱
              ",418000,5394,12.9
"77","【王老菊】大脑升级人！| 艾尔登法环EP.20","
                怕上火暴王老菊
              ",582000,22000,37.8
"78","前半段还挺丝滑的，怎么结局是这样","
                都市频道打鱼晒网
              ",1455000,257,0.18
"79","小伙断糖一周会有什么变化？什么食物都不能吃？","
                贤宝宝Baby
              ",1040000,8070,7.76
"80","体内有水的石头","
                正经的知识
              ",999000,452,0.45
"81","【水果猎人】网络热门水果鉴定5","
                水果猎人杨晓洋
              ",1147000,6092,5.31
"82","宙斯现身、女雷神患癌！共生体反派“屠神者格尔”究竟是谁？《雷神4》首发预告深度解析","
                努力的Lorre
              ",911000,4708,5.17
"83","《猫不易》","
                龙馍馍
              ",754000,645,0.86
"84","金钱可以衡量，友谊不能---绿皮书","
                蔚蓝色的天空海
              ",1850000,398,0.22
"85","饮料区我们也是一样一样地喝过去的。但老是感觉不太对劲，我仔细的看了看名字。好家伙！雷碧、口渴可乐、汇源橙汁、RIQ。包装一模一样，什么时候出了这么多新款。","
                可乐频3200
              ",915000,1551,1.7
"86","看完杨洋所有作品，我搞了一篇小论文！","
                暴躁老王不在家
              ",816000,9789,12
"87","六阿哥弘曕：天生富贵，因何早早病逝？【雍正王朝】","
                正直讲史-李正Str
              ",647000,10000,15.46
"88","所以他们到底跳的是什么舞？","
                纯路人茉日天
              ",1737000,1352,0.78
"89","【喜羊羊与灰太狼/手书】乱世巨星","
                白垩纪怪人
              ",289000,1604,5.55
"90","男生眼中的女生自拍","
                Zhan丨
              ",1127000,7324,6.5
"91","【嘉然】80s夺走你的心！😘【直播剪辑】","
                嘉然今天吃什么
              ",418000,1234,2.95
"92","【原神】刀镡速刷路线【神里绫华突破材料】","
                Ziv紫薇
              ",330000,402,1.22
"93","什么什么？这玩意我长这么大居然才知道？！","
                黑猫厨房
              ",888000,4346,4.89
"94","你是我的《Yes or Yes》","
                爱动手的小秦师傅
              ",1833000,3218,1.76
"95","和女友体验湖面飞行，结果女友全程泪崩....","
                卑鄙的老曹
              ",853000,3717,4.36
"96","【才浅手工】玩了老头环想当法师？做个法杖竟有魔法效果！","
                才疏学浅的才浅
              ",370000,2983,8.06
"97","你管这玩意儿叫live2D？是live2D 但是米哈游！","
                亚食人
              ",609000,2252,3.7
"98","攒够了8个超赞家庭小料理分享给大家，学会做给家人吃，你一定会回来谢谢我！香橙巴斯克蛋糕、蛋包饭、小炒牛肉、香煎眼肉、低温菲力、鸡蛋三明治、酱香炒蛋、猪油蛋炒饭。","
                阿男的食谱
              ",1802000,443,0.25
"99","小潮team的废片花絮！3#","
                小潮team
              ",652000,2162,3.32
"100","全程高能土味豪门家庭神剧《百万新娘之爱无悔》，笑到打鸣~","
                虫哥说电影
              ",853000,12000,14.07
